0	[CLS]	O
0	the	O
0	systematic	O
0	availability	O
0	of	O
0	im	O
0	can	O
0	be	O
0	determined	O
0	by	O
0	comparison	O
0	of	O
0	the	O
0	area	B-PK
0	under	I-PK
0	the	I-PK
0	plasma	I-PK
0	concentration	I-PK
0	(	I-PK
0	au	I-PK
0	##c	I-PK
0	)	I-PK
0	versus	I-PK
0	time	I-PK
0	curves	I-PK
0	.	O
0	[SEP]	O
1	[CLS]	O
1	the	O
1	mean	O
1	au	B-PK
1	##c	I-PK
1	##0	I-PK
1	–	I-PK
1	24	I-PK
1	values	O
1	for	O
1	micro	O
1	##cid	O
1	s	O
1	##r	O
1	and	O
1	formulation	O
1	f	O
1	##3	O
1	were	O
1	124	O
1	##7	O
1	##8	O
1	±	O
1	104	O
1	.	O
1	21	O
1	ng	O
1	/	O
1	m	O
1	##l	O
1	h	O
1	##−	O
1	##1	O
1	and	O
1	121	O
1	##45	O
1	±	O
1	87	O
1	.	O
1	32	O
1	ng	O
1	/	O
1	m	O
1	##l	O
1	h	O
1	##−	O
1	##1	O
1	,	O
1	respectively	O
1	.	O
1	[SEP]	O
2	[CLS]	O
2	slow	O
2	in	O
2	v	O
2	##it	O
2	##ro	O
2	release	O
2	of	O
2	im	O
2	from	O
2	the	O
2	products	O
2	micro	O
2	##cid	O
2	s	O
2	##r	O
2	and	O
2	f	O
2	##3	O
2	formulation	O
2	##s	O
2	may	O
2	be	O
2	responsible	O
2	for	O
2	the	O
2	decreased	O
2	au	B-PK
2	##c	I-PK
2	values	O
2	when	O
2	compared	O
2	to	O
2	the	O
2	reported	O
2	conventional	O
2	dos	O
2	##age	O
2	forms	O
2	[	O
2	19	O
2	]	O
2	.	O
2	[SEP]	O
3	[CLS]	O
3	the	O
3	average	O
3	value	O
3	of	O
3	the	O
3	individual	O
3	and	O
3	mean	O
3	au	B-PK
3	##c	I-PK
3	##0	I-PK
3	–	I-PK
3	24	I-PK
3	ratio	I-PK
3	at	O
3	95	O
3	%	O
3	confidence	O
3	limit	O
3	(	O
3	0	O
3	.	O
3	8	O
3	–	O
3	1	O
3	.	O
3	25	O
3	)	O
3	was	O
3	within	O
3	acceptable	O
3	limits	O
3	for	O
3	bio	O
3	##e	O
3	##qui	O
3	##valent	O
3	products	O
3	[	O
3	19	O
3	]	O
3	.	O
3	[SEP]	O
4	[CLS]	O
4	in	O
4	order	O
4	to	O
4	obtain	O
4	in	O
4	v	O
4	##it	O
4	##ro	O
4	-	O
4	in	O
4	v	O
4	##ivo	O
4	correlation	O
4	,	O
